"filename", "language", "Python", "JSON", "comment", "blank", "total"
"d:\HK231\SoftwareTesting\Level0\test_createDiscussion.py", "Python", 641, 0, 3, 27, 671
"d:\HK231\SoftwareTesting\Level0\test_responsive.py", "Python", 302, 0, 3, 31, 336
"d:\HK231\SoftwareTesting\Level0\test_userCourse.py", "Python", 672, 0, 3, 64, 739
"d:\HK231\SoftwareTesting\Level1\input\input_CreateDiscussion.json", "JSON", 0, 114, 0, 0, 114
"d:\HK231\SoftwareTesting\Level1\input\input_Responsive.json", "JSON", 0, 52, 0, 0, 52
"d:\HK231\SoftwareTesting\Level1\input\input_UserCourse.json", "JSON", 0, 154, 0, 1, 155
"d:\HK231\SoftwareTesting\Level1\test_createDiscussion.py", "Python", 96, 0, 7, 15, 118
"d:\HK231\SoftwareTesting\Level1\test_responsive.py", "Python", 79, 0, 3, 15, 97
"d:\HK231\SoftwareTesting\Level1\test_userCourse.py", "Python", 95, 0, 9, 17, 121
"d:\HK231\SoftwareTesting\Level2\input\input_CreateDiscussion.json", "JSON", 0, 393, 0, 69, 462
"d:\HK231\SoftwareTesting\Level2\input\input_Responsive.json", "JSON", 0, 172, 0, 24, 196
"d:\HK231\SoftwareTesting\Level2\input\input_UserCourse.json", "JSON", 0, 403, 0, 65, 468
"d:\HK231\SoftwareTesting\Level2\test_createDiscussion.py", "Python", 90, 0, 4, 15, 109
"d:\HK231\SoftwareTesting\Level2\test_responsive.py", "Python", 119, 0, 4, 20, 143
"d:\HK231\SoftwareTesting\Level2\test_userCourse.py", "Python", 78, 0, 3, 16, 97
"Total", "-", 2172, 1288, 39, 379, 3878
